unit,Site,Plot,CWMH1,CWMH2,CWMH3
1,s1,p1,0.182,4.454,-4.271
2,s1,p2,4.035,3.661,0.374
3,s1,p3,2.19,4.251,-2.061
4,s1,p4,0.197,4.073,-3.876
47,s2,p1,4.419,3.793,0.626
48,s2,p2,3.689,3.292,0.397
49,s2,p3,5.678,4.29,1.388
50,s2,p4,9.673,5.281,4.392
91,s3,p1,3.51,3.766,-0.257
92,s3,p2,5.229,4.447,0.782
93,s3,p3,4.65,4.539,0.111
94,s3,p4,3.374,4.032,-0.658
135,s4,p1,3.417,6.351,-2.934
136,s4,p2,3.64,5.536,-1.896
137,s4,p4,1.105,6.422,-5.317
154,s5,p2,5.355,5.667,-0.312
155,s5,p3,9.638,4.796,4.843
156,s5,p4,6.472,5.85,0.622
157,s6,p1,0.44,1.175,-0.735
158,s6,p2,0.113,3.708,-3.596
159,s6,p3,0.054,4.584,-4.53
160,s6,p4,0.972,0.822,0.15
161,s7,p1,7.044,3.836,3.209
162,s7,p2,2.46,2.66,-0.2
163,s7,p3,3.746,3.456,0.291
164,s7,p4,2.577,3.117,-0.54
165,s8,p1,3.901,3.628,0.273
166,s8,p2,6.508,3.576,2.932
167,s8,p3,4.63,2.718,1.912
168,s8,p4,2.951,3.185,-0.234
169,s9,p1,3.081,3.702,-0.621
170,s9,p2,2.683,3.823,-1.14
171,s9,p3,4.484,5.815,-1.331
172,s9,p4,6.428,4.407,2.021
5,s10,p1,8.287,3.594,4.694
6,s10,p2,3.559,5.096,-1.537
7,s10,p3,1.596,3.328,-1.732
8,s10,p4,3.439,2.627,0.813
9,s11,p1,1.443,2.605,-1.162
10,s11,p2,0.523,1.531,-1.007
11,s11,p3,0.847,1.755,-0.907
12,s11,p4,4.227,2.513,1.714
13,s12,p1,8.044,5.21,2.835
14,s12,p2,5.573,3.258,2.315
16,s12,p3,3.965,3.089,0.876
18,s12,p4,2.782,2.398,0.384
19,s13,p1,1.822,2.31,-0.488
20,s13,p2,1.848,2.69,-0.842
21,s13,p3,2.064,1.821,0.243
22,s13,p4,2.125,2.029,0.095
23,s14,p1,7.453,6.35,1.103
24,s14,p2,3.303,6.847,-3.545
25,s14,p3,5.5,7.067,-1.567
26,s14,p4,7.93,6.194,1.736
27,s15,p1,6.159,4.672,1.488
28,s15,p2,2.164,4.503,-2.338
29,s15,p3,4.255,4.377,-0.123
30,s15,p4,6.184,3.918,2.266
31,s16,p1,8.859,4.293,4.566
32,s16,p2,1.628,4.894,-3.265
33,s16,p3,3.247,3.142,0.105
34,s16,p4,2.354,3.476,-1.121
35,s17,p1,1.05,2.661,-1.611
36,s17,p2,2.123,5.137,-3.014
37,s17,p3,0.733,1.367,-0.634
38,s17,p4,2.263,2.205,0.058
39,s18,p1,1.071,1.557,-0.486
40,s18,p2,0.992,0.981,0.011
41,s18,p3,3.17,2.653,0.517
42,s18,p4,4.608,4.236,0.372
43,s19,p1,4.111,2.549,1.563
44,s19,p2,2.781,2.49,0.291
45,s19,p3,8.49,4.298,4.192
46,s19,p4,0.691,0.585,0.106
51,s20,p1,0.148,1.596,-1.448
52,s20,p2,4.243,2.951,1.293
53,s20,p3,10.169,7.467,2.702
54,s20,p4,5.516,5.911,-0.395
55,s21,p1,2.416,2.979,-0.563
56,s21,p2,2.619,2.937,-0.318
57,s21,p3,1.972,2.288,-0.316
58,s21,p4,2.808,2.648,0.161
59,s22,p1,4.621,5.19,-0.568
60,s22,p2,5.317,4.287,1.03
61,s22,p3,5.311,4.7,0.611
62,s22,p4,2.549,5.114,-2.566
63,s23,p1,3.883,4.768,-0.885
64,s23,p2,3.442,4.37,-0.928
65,s23,p3,7.224,5.734,1.49
66,s23,p4,5.106,5.144,-0.037
67,s24,p1,2.449,3.943,-1.495
68,s24,p2,2.908,3.838,-0.931
69,s24,p3,2.813,3.861,-1.048
70,s24,p4,4.783,3.885,0.899
71,s25,p1,4.39,3.154,1.236
72,s25,p2,5.463,4.221,1.242
73,s25,p3,3.614,3.122,0.492
74,s25,p4,3.619,2.867,0.752
75,s26,p1,3.715,3.565,0.15
76,s26,p2,2.84,3.47,-0.631
77,s26,p3,3.861,4.05,-0.189
78,s26,p4,4.271,3.591,0.68
79,s27,p1,4.077,4.625,-0.548
80,s27,p2,7.142,4.433,2.709
81,s27,p3,5.56,3.577,1.984
82,s27,p4,2.907,4.122,-1.215
83,s28,p1,4.139,2.84,1.3
84,s28,p2,3.574,2.856,0.718
85,s28,p3,2.805,2.507,0.298
86,s28,p4,1.129,2.338,-1.21
87,s29,p1,2.625,4.257,-1.632
88,s29,p2,2.656,4.506,-1.85
89,s29,p3,4.734,4.128,0.607
90,s29,p4,3.838,4.123,-0.285
95,s30,p1,1.183,2.397,-1.214
96,s30,p2,0.483,4.698,-4.215
97,s30,p3,1.861,2.761,-0.899
98,s30,p4,1.296,2.586,-1.29
99,s31,p1,0.568,4.009,-3.442
100,s31,p2,2.006,3.978,-1.972
101,s31,p3,1.582,3.497,-1.916
102,s31,p4,2.377,3.429,-1.053
103,s32,p1,1.103,1.663,-0.56
104,s32,p2,1.839,1.903,-0.063
105,s32,p3,1.209,4.572,-3.363
106,s32,p4,1.383,2.267,-0.883
107,s33,p1,1.327,2.391,-1.063
108,s33,p2,0.876,0.876,0
109,s33,p3,1.002,1.002,0
110,s33,p4,1.459,1.432,0.027
111,s34,p1,8.294,7.838,0.456
112,s34,p3,1.845,5.33,-3.486
113,s34,p4,4.898,8.01,-3.112
114,s35,p1,1.559,0.688,0.87
115,s35,p2,0.2,0.335,-0.134
116,s35,p3,1.309,1.419,-0.11
117,s35,p4,0.554,1.343,-0.789
118,s36,p1,0.962,0.972,-0.01
119,s36,p2,2.293,1.517,0.776
120,s36,p3,1.599,0.967,0.632
121,s36,p4,0.203,0.434,-0.231
122,s37,p1,1.296,3.335,-2.039
123,s37,p2,2.682,2.907,-0.225
124,s37,p3,5.298,5.218,0.08
125,s37,p4,6.469,4.808,1.661
126,s38,p1,1.615,2.801,-1.186
127,s38,p2,2.257,2.311,-0.055
128,s38,p3,1.453,3.111,-1.658
129,s38,p4,1.771,2.905,-1.134
130,s39,p1,3.91,4.783,-0.873
131,s39,p2,5.438,5.396,0.042
132,s39,p3,2.245,3.838,-1.593
133,s39,p4,3.655,3.936,-0.281
138,s40,p1,3.748,2.791,0.957
139,s40,p2,1.702,3.828,-2.126
140,s40,p3,2.462,3.595,-1.134
141,s40,p4,2.796,2.981,-0.185
142,s41,p1,0.22,0.551,-0.332
143,s41,p2,0.283,0.438,-0.154
144,s41,p3,0.954,0.947,0.007
145,s41,p4,0.085,0.405,-0.32
146,s42,p1,1.298,3.551,-2.253
147,s42,p2,2.209,2.899,-0.69
148,s42,p3,1.266,2.34,-1.074
149,s42,p4,1.969,2.442,-0.473
150,s43,p1,1.14,3.74,-2.6
151,s43,p2,0.484,2.136,-1.651
152,s43,p3,0.984,2.35,-1.366
153,s43,p4,1.084,3.091,-2.007
